Term_EN,Term_ES,Definition
PointSav Information Systems AG or PointSav Digital Systems AG,,
PointSav.com,,
PointSav,,
.EXE,,
.FIN,,
.PUB,,
Administration Panel or System Administrator or Control Panel or System Preferences,,
Administration Suite,,
AEC Community,,
AI Bots,,
Alfred P. Sloan,,
Apache Web Server,,
App – Building ID,,
App – Community,,
App – Workplace OS,,
Applications,,
Artificial Intelligence or AI,,
Assignments,,
Audience Data,,
Audit Trail,,
Authentication,,
Backup,,
Bare Metal Resources,,
Berkeley Software Distribution or FreeBSD,,
Big Tech or Big Tech Ecosystem or Ring Fence,,
Blockchain,,
Bootable Disk Image,,
Building Connectivity,Conectividad del Edificio,Future-focused tech integration.
Building Router,,
Business Administration,,
Business Software,,
Buying Program,,
Cascading Style Sheet or CSS,,
CCTV Data Collection,,
Chart of Accounts,,
Cloud Computing,,
Collaborators,,
Command Line Interface,,
Commits,,
Community Members,,
Configuration,,
Console OS – BIM,,
Console OS – Building Preferences,,
Console OS – F*Keys,,
Console OS – Input Machine,,
Console OS – Maps,,
Console OS – Marketplace,,
Console OS – Systems Administrator,,
Console OS,,
Contact Us,,
Container Orchestration – OS Level Virtualization,,
Container Orchestration – Platform for Containerized APPs,,
Container,,
Content Creation,,
Content Management System (CMS),,
Contributors,,
Cookies Notification,,
Cookies Preferences,,
Cookies,,
Creative Design,,
Customer Relationship Management (CRM),,
Customers,,
Data Entry,,
Data Migration,,
Decentralized Network,,
Design System Components,,
Design System,,
Device-based Permissions,,
DevOps,,
Investor Relations,,
Digital Transformation,,
Digital Twin,,
Disclaimer,,
Distributed Network,,
Docker,,
Documentation,,
Downstream,,
e-Commerce,,
Economic Model,,
Edge Computing,,
Enterprise Resource Management (ERP),,
Enterprise User,,
Enterprise,,
File System,,
Financial Community,,
First-party Data,,
Fog Computing,,
Fork,,
Freely Transferable,,
FreshRSS,,
Geo-Spatial,,
Geometric Security,,
GitHub – PointSav,,
GitHub – WCP,,
GitHub,,
Graphic Design,,
HTML,,
Infrastructure OS,,
Installation Guide,,
Interface OS – BIM Server,,
Interface OS – Command Centre,,
Interface OS – Data Engine,,
Interface OS – GIS Engine,,
Interface OS – IoT Connect,,
Interface OS,,
IoT Connect,,
IoT Devices,,
IoT Device Providers,,
IoT Sensors,,
IT Support,,
Jawbone,,
Key Note Slides,,
Kubernetes,,
LaTeX,,
Leased Server Resources,,
Licensing Agreement,,
Local Administrators,,
Login,,
LoRa,,
Machine Authorization,,
MAN Files or MAN.txt,,
MariaDB,,
Marketing Directory,,
Markup Language,,
Media Assets,,
MediaKit OS – Design System,,
MediaKit OS – Distribution,,
MediaKit OS – Hosting,,
MediaKit OS – Marketing,,
MediaKit OS – System Administration,,
MediaKit OS – Wiki,,
MediaKit OS,,
MediaWiki,,
Metadata,,
Microkernel Operating System,,
Microservices,,
Micro Virtual Machines or Micro VM,,
Mobile Devices,,
Nano Virtual Machines or Nano VM,,
Network Admin OS,,
Newsfeed,,
Newswire Services,,
On-prem Resources,,
Open Source,,
Operating System,,
P1 – Input Machine,,
P2 – System Administration / Package Manager,,
P3 – Users,,
P4 – Interface,,
Package Manager,,
Pairing,,
Permissions,,
Personal Computer,,
Platform,,
PointSav Corporate Support Centre,,
PointSav Design System,,
PointSav Documentation or PointSav Documentation Wiki,,
PointSav Landing Page,,
PointSav Private Network,,
Privacy Policy,,
Private Network,,
PrivateGit OS,,
Product Design,,
Products,,
Proprietary Technology,,
Public Browser Delivery – BIM,,
Public Browser Delivery – Data Marketplace,,
Public Browser Delivery – Input Machine,,
Public Browser Delivery – Maps,,
Public Browser Delivery,,
Public Cloud Resources,,
README Files or README.txt,,
Real Estate Community,,
Real-Time Operating System,,
Record Keeping,Mantenimiento de Registros,Function of proprietary software.
RSS Feeds,,
RSS Reader,,
Scaling,,
Second-party Data,,
Service Design,,
Service Providers,,
Services,,
Smart Building,,
Software,,
Source Code,,
Specialty Software,,
Stakeholders,,
Subdomain,,
Surveillance,,"Capitalism a concept in political economics which denotes the widespread collection and commodification of personal data by corporations."
System Design,,
Tech Community,,
Technical Lead,,
Technofeudalism,,"the new power that is reshaping our lives and the world, and is the greatest current threat to the liberal individual..."
Technology Selection,,
Tenants,,
Terminal,,
Third-party Data,,
Tokens,,
Topic Templates,,
Topics,,
Totebox Archive,,
Totebox Archive – Corporate,,
Totebox Archive – Metadata and FTP,,
Totebox Archive – Personnel,,
Totebox Archive – Real Property,,
Totebox Orchestration,,
Totebox OS – BIM,,
Totebox OS – Bookkeeper,,
Totebox OS – Calendar,,
Totebox OS – Chat,,
Totebox OS – Conferencing,,
Totebox OS – eMail,,
Totebox OS – FTP,,
Totebox OS – IoT Data,,
Totebox OS – IoT Device Library,,
Totebox OS – IoT Sensor Library,,
Totebox OS – Minutebook,,
Totebox OS – Parking Lots,,
Totebox OS – People,,
Totebox OS – Places,,
Totebox OS – Published Work,,
Totebox OS – Research,,
Totebox OS – RSS Feed,,
Totebox OS – Business,,
Totebox OS,,
Totebox Services,,
Type II Hypervisor,,
Unikernel,,
Upstream,,
Use Cases,,
User Experience or Service Design or UX,,
User Guide,,
User Interface or Product Design or UI,,
User-centred,,
Usernames and Passwords,,
Users,,
Virtual Machine or VM,,
Virtualization,,
Wallet,,
WCP Corporate Brochure or WCP Investor Presentation,,
WCP Corporate Wiki,,
WCP Landing Page,,
WCP Newsroom,,
WCP Projects Wiki,,
Web 3.0,,
White Paper Discovery Process,,
Wi-Fi,,
Windows Operating System,,
Wireframes,,
WordPress,,
Workplace OS – Browser,,
Workplace OS – Calculator,,
Workplace OS – File Manager,,
Workplace OS – PDF Viewer,,
Workplace OS – Spreadsheet,,
Workplace OS – Word Processor,,
Workplace OS,,
World Wide Web,,
What You See Is What You Get or WYSIWYG,,
Zero-party Data,,
Public Cloud,,
Technical Debt,,
Gamification,,
Mark Up Language,,
Information Technology,Information Technology,Required for robust operations.
Property Management,Administración de Propiedades,Function of proprietary software.
Book-Entry,Anotación en Cuenta,Electronic registration.
