Term_EN,Term_ES,Definition
PointSav Digital Systems,,
PointSav.com,,
PointSav,,
.EXE,,
.FIN,,
.PUB,,
Administration Panel or System Administrator or Control Panel or System Preferences,,
Administration Suite,,
AEC Community,Comunidad AEC,"Architecture, Engineering, and Construction community, a key target audience for PointSav's digital twin and building management technologies."
AI Bots,,
Alfred P. Sloan,,
Apache Web Server,,
App – Building ID,,
App – Community,,
App – Workplace OS,,
Applications,,
Artificial Intelligence or AI,Inteligencia Artificial (IA),"The theory and development of computer systems able to perform tasks that normally require human intelligence, such as visual perception, speech recognition, decision-making, and translation between languages."
Assignments,,
Audience Data,,
Audit Trail,,
Authentication,,
Backup,,
Bare Metal Resources,,
Berkeley Software Distribution or FreeBSD,,
Big Tech or Big Tech Ecosystem or Ring Fence,,
Blockchain,Cadena de Bloques,"A system in which a record of transactions made in bitcoin or another cryptocurrency are maintained across several computers that are linked in a peer-to-peer network."
Bootable Disk Image,,
Building Connectivity,Conectividad del Edificio,Future-focused tech integration.
Building Router,,
Business Administration,Administración de Empresas,"The process of managing a business or non-profit organization, so that it remains stable and continues to grow. It includes all aspects of overseeing and supervising business operations."
Business Software,,
Buying Program,,
Cascading Style Sheet or CSS,Hojas de Estilo en Cascada,"A style sheet language used for describing the presentation of a document written in a markup language such as HTML. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript."
CCTV Data Collection,,
Chart of Accounts,,
Cloud Computing,Computación en la Nube,"The delivery of computing services—including servers, storage, databases, networking, software, analytics, and intelligence—over the Internet (""the cloud"") to offer faster innovation, flexible resources, and economies of scale."
Collaborators,,
Command Line Interface,,
Commits,,
Community Members,,
Configuration,,
Console OS – BIM,,
Console OS – Building Preferences,,
Console OS – F*Keys,,
Console OS – Input Machine,,
Console OS – Maps,,
Console OS – Marketplace,,
Console OS – Systems Administrator,,
Console OS,SO de Consola,"A lightweight, terminal-based operating system for managing and interacting with PointSav services and infrastructure."
Contact Us,,
Container Orchestration – OS Level Virtualization,,
Container Orchestration – Platform for Containerized APPs,,
Container,Contenedor,"A standard unit of software that packages up code and all its dependencies so the application runs quickly and reliably from one computing environment to another. A Docker container image is a lightweight, standalone, executable package of software that includes everything needed to run an application: code, runtime, system tools, system libraries and settings."
Content Creation,,
Content Management System (CMS),,
Contributors,,
Cookies Notification,,
Cookies Preferences,,
Cookies,,
Creative Design,,
Customer Relationship Management (CRM),,
Customers,,
Data Entry,,
Data Migration,,
Decentralized Network,,
Design System Components,,
Design System,,
Device-based Permissions,,
DevOps,DevOps,"A set of practices that combines software development (Dev) and IT operations (Ops). It aims to shorten the systems development life cycle and provide continuous delivery with high software quality. DevOps is complementary with Agile software development; several DevOps aspects came from Agile methodology."
Digital Transformation,Transformación Digital,"The process of using digital technologies to create new — or modify existing — business processes, culture, and customer experiences to meet changing business and market requirements."
Digital Twin,Gemelo Digital,"A virtual model designed to accurately reflect a physical object. In the context of PointSav, it refers to a digital replica of a building or other physical asset."
Disclaimer,,
Distributed Network,,
Docker,Docker,"A set of platform as a service (PaaS) products that use OS-level virtualization to deliver software in packages called containers. Containers are isolated from one another and bundle their own software, libraries and configuration files; they can communicate with each other through well-defined channels."
Documentation,,
Downstream,,
e-Commerce,,
Economic Model,,
Edge Computing,,
Enterprise Resource Management (ERP),,
Enterprise User,,
Enterprise,,
File System,,
Financial Community,,
First-party Data,,
Fog Computing,,
Fork,,
Freely Transferable,,
FreshRSS,,
Geo-Spatial,,
Geometric Security,,
GitHub – PointSav,,
GitHub – WCP,,
GitHub,GitHub,"A provider of Internet hosting for software development and version control using Git. It offers the distributed version control and source code management (SCM) functionality of Git, plus its own features."
Graphic Design,,
HTML,HTML,"HyperText Markup Language, a standardized system for tagging text files to achieve font, color, graphic, and hyperlink effects on World Wide Web pages."
Infrastructure OS,SO de Infraestructura,"The underlying operating system for managing hardware and network resources, providing a stable foundation for other PointSav services."
Installation Guide,,
OrchestrationOS – BIM Server,Servidor BIM de OrchestrationOS,"A component of OrchestrationOS responsible for managing and processing Building Information Modeling (BIM) data."
OrchestrationOS – Command Centre,Centro de Comando de OrchestrationOS,"The central management interface for OrchestrationOS, providing a single point of control for all orchestrated services."
OrchestrationOS – Data Engine,Motor de Datos de OrchestrationOS,"The data processing and storage component of OrchestrationOS, responsible for managing large datasets and providing data analytics capabilities."
OrchestrationOS – GIS Engine,Motor GIS de OrchestrationOS,"A component of OrchestrationOS that provides Geospatial Information System (GIS) capabilities, including mapping, spatial analysis, and data visualization."
OrchestrationOS – IoT Connect,,
OrchestrationOS,SO de Orquestación,"The stateless logic and compute layer. Holds no data. Connects ConsoleOS terminals to one or more ToteboxOS archives and provides extended compute capacity for BIM rendering, GIS spatial analysis, SLM inference, and data warehouse operations. Required for multi-archive use cases — the monetisation boundary between free and proprietary tiers."
IoT Connect,,
IoT Devices,Dispositivos de IoT,"Physical devices that connect to the internet to collect and share data. In the PointSav ecosystem, this includes sensors and other devices used to monitor and control building systems."
IoT Device Providers,,
IoT Sensors,,
IT Support,,
Jawbone,,
Key Note Slides,,
Kubernetes,,
LaTeX,,
Leased Server Resources,,
Licensing Agreement,,
Local Administrators,,
Login,,
LoRa,,
Machine Authorization,,
MAN Files or MAN.txt,,
MariaDB,,
Marketing Directory,,
Markup Language,,
Media Assets,,
MediaKit OS – Design System,,
MediaKit OS – Distribution,,
MediaKit OS – Hosting,,
MediaKit OS – Marketing,,
MediaKit OS – System Administration,,
MediaKit OS – Wiki,,
MediaKit OS,SO de MediaKit,"An operating system designed for managing and distributing media assets, including the PointSav design system, marketing materials, and documentation."
MediaWiki,,
Metadata,,
Microkernel Operating System,Microkernel,"An operating system architecture where the kernel is as small as possible, with most services running in user space. This can improve security and stability."
Microservices,,
Micro Virtual Machines or Micro VM,,
Mobile Devices,,
Nano Virtual Machines or Nano VM,,
Network Admin OS,SO de Administración de Red,"A specialized operating system for network administrators to manage and monitor network infrastructure, including routers, switches, and firewalls."
Newsfeed,,
Newswire Services,,
On-prem Resources,,
Open Source,,
Operating System,Sistema Operativo,"The software that supports a computer's basic functions, such as scheduling tasks, executing applications, and controlling peripherals."
P1 – Input Machine,,
P2 – System Administration / Package Manager,,
P3 – Users,,
P4 – Interface,,
Package Manager,,
Pairing,,
Permissions,,
Personal Computer,,
Platform,,
PointSav Corporate Support Centre,,
PointSav Design System,,
PointSav Documentation or PointSav Documentation Wiki,,
PointSav Landing Page,,
PointSav Private Network,,
Privacy Policy,,
Private Network,,
PrivateGit OS,SO de PrivateGit,"An operating system for managing private Git repositories, providing a secure, self-hosted alternative to public Git hosting services."
Product Design,,
Products,,
Proprietary Technology,,
Public Browser Delivery – BIM,,
Public Browser Delivery – Data Marketplace,,
Public Browser Delivery – Input Machine,,
Public Browser Delivery – Maps,,
Public Browser Delivery,,
Public Cloud Resources,,
README Files or README.txt,,
Real Estate Community,,
Real-Time Operating System,,
Record Keeping,Mantenimiento de Registros,Function of proprietary software.
RSS Feeds,,
RSS Reader,,
Scaling,,
Second-party Data,,
Service Design,,
Service Providers,,
Services,,
Smart Building,Edificio Inteligente,"A building that uses technology to automatically control its operations, including heating, ventilation, air conditioning, lighting, security, and other systems."
Software,,
Source Code,,
Specialty Software,,
Stakeholders,,
Subdomain,,
Surveillance,,Monitoring of user activity or system behaviour for security or analytical purposes. PointSav replaces third-party surveillance dependencies with zero-cookie first-party telemetry pipelines.
System Design,,
Tech Community,,
Technical Lead,,
Technofeudalism,,A term describing structural dependency on platform providers who control access to data and services. Cited as context for the vendor lock-in problem that PointSav is designed to resolve.
Technology Selection,,
Tenants,,
Terminal,,
Third-party Data,,
Tokens,,
Topic Templates,,
Topics,,
Totebox Archive,Archivo Totebox,"A self-contained, portable, and encrypted repository for data and applications, designed for long-term storage and secure access. Each Totebox Archive is a single file that can be stored on any storage medium."
Totebox Archive – Corporate,,
Totebox Archive – Metadata and FTP,,
Totebox Archive – Personnel,,
Totebox Archive – Property,,
Totebox Orchestration,,
Totebox OS – BIM,,
Totebox OS – Bookkeeper,,
Totebox OS – Calendar,,
Totebox OS – Chat,,
Totebox OS – Conferencing,,
Totebox OS – eMail,,
Totebox OS – FTP,,
Totebox OS – IoT Data,,
Totebox OS – IoT Device Library,,
Totebox OS – IoT Sensor Library,,
Totebox OS – Minutebook,,
Totebox OS – Parking Lots,,
Totebox OS – People,,
Totebox OS – Places,,
Totebox OS – Published Work,,
Totebox OS – Research,,
Totebox OS – RSS Feed,,
Totebox OS – Business,,
Totebox OS,SO Totebox,"The operating system that runs within a Totebox Archive, providing a secure environment for applications and services. It is designed to be lightweight and portable."
Totebox Services,Servicios Totebox,"A suite of applications and services that run within the Totebox OS, providing functionality such as data storage, communication, and collaboration tools."
Type II Hypervisor,,
Unikernel,Unikernel,"A specialized, single-address-space machine image constructed by using library operating systems. Unikernels are often smaller and more secure than traditional operating systems."
Upstream,,
Use Cases,,
User Experience or Service Design or UX,Experiencia de Usuario (UX),"The overall experience of a person using a product such as a website or computer application, especially in terms of how easy or pleasing it is to use."
User Guide,,
User Interface or Product Design or UI,Interfaz de Usuario (UI),"The means by which the user and a computer system interact, in particular the use of input devices and software."
User-centred,,
Usernames and Passwords,,
Users,,
Virtual Machine or VM,Máquina Virtual (VM),"A software-based emulation of a physical computer. It has its own operating system and can run applications independently from the host machine."
Virtualization,,
Wallet,,
WCP Corporate Brochure or WCP Investor Presentation,,
WCP Corporate Wiki,,
WCP Landing Page,,
WCP Newsroom,,
WCP Projects Wiki,,
Web 3.0,,
White Paper Discovery Process,,
Wi-Fi,,
Windows Operating System,,
Wireframes,,
WordPress,,
Workplace OS – Browser,Navegador de Workplace OS,"The web browser integrated into Workplace OS, providing secure and controlled access to the internet and internal web applications."
Workplace OS – Calculator,Calculadora de Workplace OS,"A basic calculator application included in Workplace OS for performing simple mathematical calculations."
Workplace OS – File Manager,Gestor de Archivos de Workplace OS,"The file management application in Workplace OS, used for organizing, browsing, and managing files and folders."
Workplace OS – PDF Viewer,Visor de PDF de Workplace OS,"An application for viewing PDF documents within the Workplace OS environment."
Workplace OS – Spreadsheet,Hoja de Cálculo de Workplace OS,"A spreadsheet application in Workplace OS for creating and editing spreadsheets, performing calculations, and analyzing data."
Workplace OS – Word Processor,Procesador de Textos de Workplace OS,"A word processing application in Workplace OS for creating, editing, and formatting text documents."
Workplace OS,SO de Workplace,"A user-friendly, graphical operating system designed for everyday business-related tasks, providing a suite of productivity applications and a secure environment for users."
World Wide Web,,
What You See Is What You Get or WYSIWYG,,
Zero-party Data,,
Public Cloud,,
Technical Debt,,
Gamification,,
Mark Up Language,,
Information Technology,Information Technology,Required for robust operations.
Property Management,Administración de Propiedades,Function of proprietary software.
Book-Entry,Anotación en Cuenta,Electronic registration.
OrchestrationOS,OrchestrationOS,The stateless logic and compute layer. Holds no data. Connects ConsoleOS terminals to one or more ToteboxOS archives and provides extended compute capacity for BIM rendering, GIS spatial analysis, SLM inference, and data warehouse operations. Required for multi-archive use cases — the monetisation boundary between free and proprietary tiers.
PropertyArchive,PropertyArchive,A ToteboxOS archive for a physical property. Anchored to a Land Title PIN or legal address. Contains permits, lifecycle records, BIM drawings, IoT data, lease register, and maintenance history. Replaces legacy term RealPropertyArchive.
service-extraction,service-extraction,The deterministic parser service. Strips proprietary formatting from inbound payloads and routes structured data to deterministic services and unstructured text to service-slm. Assigns transaction IDs for chain-of-custody tracing. Canonical long-term name replacing the legacy working name service-parser.
service-search,service-search,The inverted index service. Provides rapid full-text retrieval across all files in a Totebox Archive using Tantivy. Operates without a running database engine — the index is static and binary and can be searched on an air-gapped machine. Satisfies DARP compliance: data must be searchable without proprietary software.
es in a Totebox Archive using Tantivy. Operates without a running database engine — the index is static and binary and can be searched on an air-gapped machine. Satisfies DARP compliance: data must be searchable without proprietary software.
